EmployeeID,FirstName,LastName,Email,Gender,NewJoiner,LearningPending,Salary,Rating
503-56-2094,Brendan,Hegmann,gonzalo.botsford@gmail.com,Non-Binary,TRUE,FALSE,140208,2
510-83-7219,Caitlyn,Brown,aiko.corwin@gmail.com,Male,FALSE,TRUE,114487,5
345-82-8839,Hipolito,Stroman,dimple.pollich@gmail.com,Male,TRUE,TRUE,68059,3
152-05-9650,Adam,Fahey,hugh.ruecker@yahoo.com,Male,TRUE,TRUE,91999,0
663-61-9041,Josue,Koss,gertie.schiller@yahoo.com,Female,TRUE,TRUE,199114,3
061-49-3346,Stefany,Brekke,malik.yundt@yahoo.com,Male,FALSE,TRUE,129754,1
854-52-3098,Stephen,Farrell,shannon.hermann@hotmail.com,Non-Binary,TRUE,TRUE,72937,4
420-30-5895,Hoyt,Gaylord,katherin.kemmer@yahoo.com,Male,TRUE,FALSE,172583,0
345-37-2462,Mignon,Emmerich,essie.renner@hotmail.com,Male,FALSE,FALSE,96143,4
512-45-5541,Jason,Pagac,ara.kovacek@yahoo.com,Male,TRUE,FALSE,68379,4
636-14-3721,Cedric,Muller,debby.torp@gmail.com,Female,TRUE,FALSE,183461,0
110-42-0966,Tamica,Rutherford,rocco.rice@gmail.com,Non-Binary,FALSE,FALSE,110061,2
739-40-6979,Ka,Sawayn,roxie.lubowitz@yahoo.com,Non-Binary,TRUE,TRUE,152943,1
878-01-0756,Arden,Hayes,mose.conn@yahoo.com,Female,TRUE,FALSE,151831,0
613-87-7373,Doloris,Dicki,julene.hammes@hotmail.com,Male,TRUE,TRUE,148960,3
297-46-1934,Elden,Hudson,thanh.shields@yahoo.com,Male,FALSE,FALSE,186315,3
031-71-3605,Sidney,Weissnat,tisa.zboncak@yahoo.com,Female,FALSE,TRUE,76836,4
868-25-5313,Valorie,Hoeger,maxine.schamberger@gmail.com,Non-Binary,TRUE,FALSE,158237,4
076-53-1665,Filiberto,Schuppe,will.morissette@gmail.com,Male,FALSE,FALSE,86124,4
492-45-9775,Terrell,Kub,alfonso.dickinson@yahoo.com,Male,FALSE,FALSE,179566,1
182-55-2484,Marybelle,Welch,marisol.streich@yahoo.com,Non-Binary,FALSE,TRUE,106792,2
894-24-8345,Lanelle,Labadie,flor.shanahan@gmail.com,Male,TRUE,TRUE,135719,3
874-75-1033,Sergio,Baumbach,eneida.zieme@hotmail.com,Female,TRUE,FALSE,100430,1
851-15-6671,Shelley,Konopelski,edwin.gottlieb@yahoo.com,Female,FALSE,TRUE,96610,0
123-49-8343,Gaston,Shanahan,maye.konopelski@yahoo.com,Female,FALSE,TRUE,59589,4
587-30-0219,Trenton,Konopelski,rene.jast@hotmail.com,Non-Binary,FALSE,TRUE,128294,4
026-78-4456,Marx,Schneider,vernice.hills@gmail.com,Male,TRUE,TRUE,89235,0
168-59-1405,Jude,O'Connell,melvina.vonrueden@hotmail.com,Female,TRUE,TRUE,169656,3
795-72-7625,Hong,Swift,chi.carter@hotmail.com,Female,FALSE,FALSE,157578,1
563-40-7555,Mohammad,Dietrich,paris.bahringer@yahoo.com,Female,TRUE,FALSE,169692,5
572-75-6177,Robt,Bergnaum,clair.oconnell@hotmail.com,Female,FALSE,TRUE,164078,0
196-99-9840,Zane,Effertz,crystal.barrows@gmail.com,Female,FALSE,TRUE,93267,0
285-42-1103,Kelly,Larson,tai.anderson@yahoo.com,Female,FALSE,TRUE,146711,3
830-39-3511,Rosalind,Wilkinson,maurita.cremin@hotmail.com,Male,FALSE,FALSE,93876,0
664-44-4967,Crystal,McKenzie,isidro.cummings@yahoo.com,Male,TRUE,FALSE,89772,2
597-26-2216,Fawn,Price,alfredia.mcglynn@yahoo.com,Female,TRUE,FALSE,120081,0
617-70-4228,Jordan,Powlowski,harrison.greenholt@gmail.com,Male,FALSE,TRUE,146869,1
166-34-1296,Steven,Spencer,sanford.rutherford@yahoo.com,Female,TRUE,TRUE,85069,2
430-27-4800,Bobbie,Hessel,leota.grant@yahoo.com,Male,TRUE,FALSE,63060,1
471-46-4113,Vaughn,Bauch,jackie.torp@yahoo.com,Non-Binary,FALSE,FALSE,130549,1
218-75-4003,Tesha,Kling,breanna.schroeder@gmail.com,Male,TRUE,TRUE,176276,0
286-04-3397,Star,Keeling,carissa.altenwerth@hotmail.com,Male,FALSE,TRUE,86405,0
162-93-7834,Jordan,Bergstrom,louie.donnelly@hotmail.com,Female,FALSE,TRUE,118109,3
064-41-7289,Taylor,Cole,lyman.harvey@gmail.com,Female,TRUE,TRUE,75617,5
227-12-3078,Edwina,Hane,alecia.kuhn@yahoo.com,Non-Binary,TRUE,TRUE,151682,5
710-16-2380,Ada,Kessler,arnetta.wolf@hotmail.com,Non-Binary,TRUE,FALSE,174720,5
309-37-9168,Sheridan,Kunze,tanika.fay@hotmail.com,Male,FALSE,TRUE,54782,3
455-75-6441,Ronny,Haley,cedric.mclaughlin@gmail.com,Male,TRUE,FALSE,128050,1
338-46-7354,Gregg,Wunsch,man.wehner@gmail.com,Male,FALSE,TRUE,118213,2
318-55-8614,Joeann,Carter,tillie.mckenzie@yahoo.com,Female,FALSE,FALSE,90920,4
835-43-0100,Lonnie,Schmidt,chi.harris@gmail.com,Male,TRUE,TRUE,81516,3
493-62-9303,Guillermo,Muller,anton.rutherford@gmail.com,Female,TRUE,TRUE,66005,3
478-09-5680,Yen,Lesch,kareem.haley@yahoo.com,Female,TRUE,TRUE,118885,3
162-94-7780,Bernard,Weber,augustine.johnston@yahoo.com,Non-Binary,FALSE,TRUE,88815,3
391-14-4082,Adolfo,Boehm,steve.strosin@yahoo.com,Female,TRUE,TRUE,173459,1
482-01-4994,Mckinley,Hegmann,hoyt.effertz@yahoo.com,Female,FALSE,FALSE,84294,1
293-65-4707,Moshe,Treutel,deon.morissette@gmail.com,Female,FALSE,FALSE,130665,1
306-56-1810,Damien,Powlowski,simonne.reilly@hotmail.com,Female,TRUE,FALSE,175216,5
093-82-9304,Mike,Nienow,jarrod.labadie@gmail.com,Female,FALSE,TRUE,113172,2
465-89-3358,Patrice,Braun,darren.jerde@yahoo.com,Non-Binary,FALSE,FALSE,125416,1
468-09-2053,Winfred,Heathcote,chris.kuhlman@yahoo.com,Male,TRUE,FALSE,159884,1
712-92-1928,Arnold,Spencer,agustina.zboncak@yahoo.com,Female,FALSE,FALSE,139141,2
795-51-9552,Hang,Stroman,jerlene.mueller@hotmail.com,Non-Binary,TRUE,FALSE,151431,4
088-68-4280,Ewa,Effertz,edgardo.braun@gmail.com,Male,FALSE,FALSE,158958,2
670-40-8605,Myrl,Schultz,ema.kuhic@gmail.com,Female,TRUE,TRUE,163756,2
344-17-1489,Josiah,Watsica,ramon.wehner@yahoo.com,Male,FALSE,TRUE,123586,0
251-55-3338,Arron,Goyette,francis.stark@hotmail.com,Male,FALSE,TRUE,191165,2
430-29-3602,Cayla,Grimes,lavone.homenick@yahoo.com,Male,FALSE,TRUE,140601,4
525-89-5955,Rudy,Harris,gerardo.dare@hotmail.com,Male,TRUE,TRUE,70046,5
672-93-4322,Wai,Ernser,raina.heathcote@gmail.com,Female,FALSE,TRUE,112575,3
365-88-0598,Milton,Robel,alison.thompson@gmail.com,Non-Binary,TRUE,TRUE,163572,0
165-21-1846,Enoch,Kozey,lona.schmidt@gmail.com,Male,TRUE,TRUE,145084,2
540-88-2562,Danilo,Littel,elliott.nikolaus@hotmail.com,Female,FALSE,FALSE,66001,3
266-93-1620,Marcelo,Hirthe,kristel.kuphal@hotmail.com,Male,FALSE,TRUE,198115,2
641-96-6639,Jennefer,Toy,veronique.dare@hotmail.com,Male,FALSE,TRUE,52408,1
862-80-6717,Jonathon,Zemlak,carmen.raynor@yahoo.com,Non-Binary,TRUE,TRUE,83017,0
473-97-5872,Bari,Stracke,romeo.medhurst@yahoo.com,Male,FALSE,FALSE,188924,1
505-88-7760,Milan,Wiegand,conrad.halvorson@gmail.com,Non-Binary,FALSE,TRUE,155485,2
157-63-9929,Gene,Nolan,ami.kihn@yahoo.com,Male,FALSE,FALSE,118914,1
289-71-3835,Emory,Moen,queenie.mante@hotmail.com,Female,TRUE,FALSE,130975,2
759-80-4175,Jenine,Little,kraig.crooks@gmail.com,Female,TRUE,TRUE,155543,4
499-93-1235,Virgil,Balistreri,liberty.gulgowski@yahoo.com,Male,FALSE,TRUE,89805,0
038-75-4365,Noble,Monahan,leonardo.quigley@yahoo.com,Male,TRUE,TRUE,140656,4
252-68-0741,Sherry,Hansen,isaac.cummings@gmail.com,Non-Binary,TRUE,FALSE,97660,4
708-91-1521,Ronnie,Bashirian,rossana.lockman@gmail.com,Female,TRUE,FALSE,154211,1
820-32-4991,Gregoria,Kilback,sharron.king@yahoo.com,Non-Binary,FALSE,FALSE,197440,3
817-69-9533,Gary,Wilkinson,torri.turner@yahoo.com,Female,TRUE,TRUE,153824,0
439-08-7944,Joellen,Walker,sam.steuber@yahoo.com,Female,FALSE,FALSE,133613,2
862-67-7413,Joi,Klein,trenton.hartmann@gmail.com,Female,FALSE,FALSE,190726,0
872-24-3871,Alberto,Marquardt,daron.lockman@hotmail.com,Non-Binary,TRUE,FALSE,101817,2
441-36-6722,Corazon,Treutel,theo.blick@hotmail.com,Non-Binary,TRUE,TRUE,86537,5
886-71-6841,Kieth,Towne,eddy.grimes@hotmail.com,Female,FALSE,TRUE,154117,5
823-68-4879,Adan,Boyle,maribeth.pagac@gmail.com,Female,TRUE,TRUE,66968,4
551-20-7509,Maggie,Kilback,dudley.ward@yahoo.com,Non-Binary,FALSE,FALSE,158875,2
752-05-5182,Chloe,Huel,irwin.armstrong@hotmail.com,Female,FALSE,TRUE,199352,2
198-07-0081,Archie,Becker,kieth.durgan@gmail.com,Non-Binary,FALSE,FALSE,92618,5
